Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,7577,3,0,1447500.0,0,145,26,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,32,-37.8017,145.0001,2,4019.0
0,2450,2,0,1135000.0,1,145,26,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,32,-37.8005,144.9952,2,4019.0
0,5953,4,0,1542000.0,1,45,30,2.5,3067.0,4.0,3.0,1.0,0.0,151.96764988779805,1964.6842169408897,32,-37.7994,144.9965,2,4019.0
0,8835,3,0,1290000.0,1,22,31,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,32,-37.8007,144.9958,2,4019.0
0,7556,2,0,1180000.0,1,99,36,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,32,-37.8016,144.9956,2,4019.0
0,7459,3,0,1195000.0,3,99,36,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,32,-37.8022,144.9954,2,4019.0
0,4027,2,0,1012500.0,1,145,38,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,32,-37.8021,144.9976,2,4019.0
0,4911,2,0,1030000.0,1,22,46,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,32,-37.8086,144.9946,2,4019.0
2,8025,3,0,730000.0,4,145,45,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
2,8025,3,0,770000.0,3,145,48,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
2,4434,2,0,603000.0,1,145,48,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,21,-37.7294,144.888,6,3464.0
2,740,3,1,700000.0,1,26,48,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,21,-37.7218,144.8837,6,3464.0
2,546,3,0,600000.0,1,123,48,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,21,-37.7273,144.8744,6,3464.0
2,3745,2,2,500000.0,4,15,48,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,21,-37.7215,144.8864,6,3464.0
2,8244,3,0,720000.0,1,15,51,13.5,3042.0,2.0,1.0,1.0,620.0,151.96764988779805,1964.6842169408897,21,-37.7173,144.8872,6,3464.0
2,6358,4,0,785000.0,1,49,51,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1964.6842169408897,21,-37.7259,144.8792,6,3464.0
2,1191,6,0,725000.0,3,15,52,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,21,-37.7239,144.8735,6,3464.0
2,3597,2,1,450000.0,1,15,52,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,21,-37.7216,144.871,6,3464.0
2,3817,2,2,530000.0,1,145,1,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,21,-37.7234,144.8792,6,3464.0
2,5285,3,0,895000.0,0,190,1,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,21,-37.7249,144.8728,6,3464.0
2,1767,3,0,805000.0,1,145,2,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,21,-37.7217,144.8783,6,3464.0
2,592,3,2,752000.0,1,145,3,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,21,-37.7302,144.8855,6,3464.0
2,2207,2,2,440000.0,1,15,9,13.5,3042.0,2.0,1.0,1.0,192.0,151.96764988779805,1964.6842169408897,21,-37.7177,144.8787,6,3464.0
2,4634,5,0,755000.0,0,172,10,13.5,3042.0,3.0,2.0,2.0,596.0,151.96764988779805,1964.6842169408897,21,-37.7248,144.8699,6,3464.0
2,3710,3,1,700000.0,0,26,12,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,21,-37.727,144.887,6,3464.0
2,2967,3,0,830000.0,1,15,13,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,21,-37.7186,144.876,6,3464.0
2,7007,2,2,462500.0,1,15,14,13.5,3042.0,2.0,1.0,1.0,164.0,151.96764988779805,2003.0,21,-37.7218,144.8863,6,3464.0
2,7312,3,0,670000.0,3,15,14,13.5,3042.0,3.0,2.0,2.0,657.0,151.96764988779805,1964.6842169408897,21,-37.7269,144.8742,6,3464.0
2,2811,2,0,675000.0,1,15,14,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,21,-37.7187,144.8765,6,3464.0
2,1971,3,0,1042000.0,1,145,14,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,21,-37.7173,144.8796,6,3464.0
2,9541,3,0,910000.0,1,129,17,13.5,3042.0,3.0,1.0,1.0,775.0,151.96764988779805,1964.6842169408897,21,-37.7231,144.8835,6,3464.0
2,7572,3,0,810000.0,0,15,18,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,21,-37.7285,144.8694,6,3464.0
2,2199,3,0,715000.0,1,190,18,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,21,-37.7164,144.8792,6,3464.0
2,1065,3,0,790000.0,1,145,18,13.5,3042.0,3.0,1.0,3.0,614.0,151.96764988779805,1964.6842169408897,21,-37.7194,144.8827,6,3464.0
2,5732,3,1,540000.0,3,145,19,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,21,-37.7231,144.8802,6,3464.0
2,6423,3,1,825000.0,3,15,21,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,21,-37.72,144.8776,6,3464.0
2,829,3,0,685000.0,1,15,24,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,21,-37.7226,144.8733,6,3464.0
2,1326,3,0,805000.0,1,15,26,13.5,3042.0,3.0,1.0,1.0,623.0,151.96764988779805,1964.6842169408897,21,-37.7184,144.882,6,3464.0
2,1056,3,0,612000.0,1,145,26,13.5,3042.0,3.0,2.0,1.0,212.0,151.96764988779805,1964.6842169408897,21,-37.7181,144.8824,6,3464.0
2,1410,3,0,662000.0,1,26,27,13.5,3042.0,3.0,1.0,2.0,612.0,151.96764988779805,1964.6842169408897,21,-37.7169,144.8815,6,3464.0
2,6217,4,0,978000.0,1,145,30,13.5,3042.0,4.0,3.0,2.0,532.0,151.96764988779805,1964.6842169408897,21,-37.7263,144.869,6,3464.0
2,6120,3,0,720000.0,0,145,31,13.5,3042.0,3.0,1.0,1.0,585.0,151.96764988779805,1964.6842169408897,21,-37.72,144.878,6,3464.0
2,7663,4,0,765000.0,1,170,36,13.5,3042.0,4.0,1.0,2.0,509.0,151.96764988779805,1964.6842169408897,21,-37.7261,144.8785,6,3464.0
2,10010,4,0,900000.0,1,84,36,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,21,-37.7256,144.8739,6,3464.0
4,1043,2,0,1275000.0,1,242,43,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,25,-37.8459,144.9555,5,3280.0
4,10009,2,0,1455000.0,1,213,43,3.3,3206.0,2.0,1.0,0.0,159.0,151.96764988779805,1964.6842169408897,25,-37.845,144.9538,5,3280.0
4,10366,3,0,1850000.0,1,79,48,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,25,-37.8452,144.9488,5,3280.0
4,6610,2,0,1436000.0,1,178,48,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,25,-37.8431,144.9565,5,3280.0
4,9539,2,0,1110000.0,1,125,51,3.3,3206.0,1.0,1.0,0.0,147.0,151.96764988779805,1900.0,25,-37.8444,144.9484,5,3280.0
4,8230,2,0,1550000.0,1,205,52,3.3,3206.0,2.0,1.0,1.0,167.0,151.96764988779805,1964.6842169408897,25,-37.8405,144.9521,5,3280.0
4,1028,4,0,2300000.0,1,125,52,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,25,-37.8447,144.9523,5,3280.0
4,7686,3,1,1550000.0,4,125,53,3.3,3206.0,3.0,2.0,2.0,718.0,151.96764988779805,1964.6842169408897,25,-37.8443,144.9598,5,3280.0
4,124,3,0,1800000.0,4,79,53,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,25,-37.8415,144.952,5,3280.0
4,5121,2,0,2120000.0,1,79,1,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,25,-37.8422,144.9554,5,3280.0
4,5318,3,0,1800000.0,4,38,1,3.3,3206.0,3.0,1.0,1.0,253.0,151.96764988779805,1964.6842169408897,25,-37.8443,144.9579,5,3280.0
4,4566,3,0,1800000.0,1,125,1,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,25,-37.8421,144.9571,5,3280.0
4,7365,2,0,1810000.0,0,79,2,3.3,3206.0,2.0,1.0,0.0,240.0,151.96764988779805,1964.6842169408897,25,-37.8379,144.9539,5,3280.0
4,4420,5,0,2100000.0,1,79,2,3.3,3206.0,5.0,2.0,1.0,237.0,151.96764988779805,1964.6842169408897,25,-37.8436,144.9557,5,3280.0
4,5945,3,0,1300000.0,1,242,2,3.3,3206.0,3.0,1.0,0.0,129.0,151.96764988779805,1964.6842169408897,25,-37.8422,144.94899999999996,5,3280.0
4,7683,3,0,1370000.0,1,79,5,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,25,-37.8451,144.9511,5,3280.0
4,8802,2,0,1000000.0,1,38,7,3.3,3206.0,2.0,1.0,0.0,288.0,151.96764988779805,1964.6842169408897,25,-37.8407,144.9523,5,3280.0
4,8985,2,0,1322500.0,1,79,12,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,25,-37.8443,144.9481,5,3280.0
4,6385,2,0,1562500.0,1,79,12,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,25,-37.8424,144.9562,5,3280.0
4,10026,3,0,2000000.0,4,178,13,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,25,-37.847,144.9575,5,3280.0
4,1712,3,0,1900000.0,1,79,18,3.3,3206.0,3.0,1.0,0.0,209.0,151.96764988779805,1900.0,25,-37.8468,144.9546,5,3280.0
4,916,2,2,647000.0,1,79,24,3.3,3206.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,25,-37.846,144.9542,5,3280.0
4,8301,3,0,2100000.0,3,125,27,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,25,-37.8427,144.9546,5,3280.0
4,7659,3,0,2000000.0,0,125,30,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,25,-37.8461,144.9528,5,3280.0
4,6032,2,0,1340000.0,1,79,31,3.3,3206.0,2.0,1.0,0.0,136.0,151.96764988779805,1964.6842169408897,25,-37.846,144.9517,5,3280.0
4,6227,3,0,1801000.0,1,242,31,3.3,3206.0,3.0,1.0,1.0,202.0,151.96764988779805,1964.6842169408897,25,-37.8429,144.9493,5,3280.0
4,5227,3,0,1532000.0,1,43,32,3.3,3206.0,3.0,3.0,1.0,0.0,151.96764988779805,1964.6842169408897,25,-37.8415,144.9585,5,3280.0
4,4900,4,0,2140000.0,1,79,35,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,25,-37.8434,144.9495,5,3280.0
4,7372,2,0,1750000.0,1,125,36,3.3,3206.0,2.0,1.0,1.0,162.0,151.96764988779805,1964.6842169408897,25,-37.8416,144.9488,5,3280.0
4,4382,3,0,2030000.0,1,242,39,3.3,3206.0,3.0,2.0,0.0,152.0,151.96764988779805,1964.6842169408897,25,-37.8488,144.9551,5,3280.0
4,2745,3,0,1740000.0,0,125,39,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,25,-37.8448,144.9453,5,3280.0
6,7996,3,0,1110000.0,1,99,43,6.4,3078.0,3.0,2.0,2.0,208.0,151.96764988779805,2013.0,32,-37.7854,145.0325,2,2211.0
6,1958,3,0,1492000.0,1,99,48,6.4,3078.0,3.0,2.0,2.0,411.0,151.96764988779805,1964.6842169408897,6,-37.7713,145.0279,2,2211.0
6,6898,2,1,805000.0,1,136,7,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,6,-37.7804,145.0308,2,2211.0
6,3757,2,2,465000.0,1,130,7,6.4,3078.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,6,-37.7773,145.0314,2,2211.0
6,9940,3,0,2000000.0,0,242,12,6.4,3078.0,3.0,3.0,2.0,686.0,151.96764988779805,1964.6842169408897,6,-37.78,145.0341,2,2211.0
6,7387,3,0,1540000.0,1,145,13,6.4,3078.0,3.0,1.0,2.0,592.0,151.96764988779805,1964.6842169408897,6,-37.7755,145.0288,2,2211.0
6,5777,2,2,820000.0,1,145,18,6.4,3078.0,2.0,1.0,1.0,183.0,151.96764988779805,1964.6842169408897,6,-37.7747,145.0264,2,2211.0
6,782,4,0,1830000.0,1,145,21,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,6,-37.7743,145.0316,2,2211.0
6,5232,3,0,865000.0,3,242,24,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,6,-37.7802,145.0243,2,2211.0
6,9373,2,1,650000.0,3,25,30,6.4,3078.0,0.0,1.0,0.0,0.0,151.96764988779805,1964.6842169408897,32,-37.7848,145.025,2,2211.0
6,4305,3,0,1165000.0,1,15,35,6.4,3078.0,3.0,1.0,2.0,979.0,151.96764988779805,1964.6842169408897,32,-37.7792,145.029,2,2211.0
6,8599,3,0,1485000.0,3,130,39,6.4,3078.0,3.0,0.0,0.0,597.0,151.96764988779805,1964.6842169408897,6,-37.7781,145.0284,2,2211.0
7,255,2,1,720000.0,1,242,47,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,10,-37.8687,144.8197,6,5301.0
7,6655,3,0,1120000.0,1,14,48,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,10,-37.8693,144.8375,6,5301.0
7,3973,4,0,780000.0,0,208,49,13.8,3018.0,4.0,1.0,4.0,655.0,151.96764988779805,1964.6842169408897,10,-37.868,144.8154,6,5301.0
7,344,3,2,630000.0,1,14,51,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,10,-37.8702,144.8143,6,5301.0
7,7970,2,2,406000.0,3,242,51,13.8,3018.0,2.0,1.0,1.0,65.0,151.96764988779805,1964.6842169408897,10,-37.8693,144.8171,6,5301.0
7,2431,3,0,660000.0,4,79,52,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,10,-37.8616,144.8116,6,5301.0
7,1210,3,0,683500.0,1,79,53,13.8,3018.0,3.0,1.0,1.0,530.0,151.96764988779805,1964.6842169408897,10,-37.8594,144.817,6,5301.0
7,274,2,2,580000.0,1,14,56,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,10,-37.8696,144.827,6,5301.0
7,459,3,1,800000.0,3,242,56,13.8,3018.0,3.0,2.0,2.0,280.0,151.96764988779805,1997.0,10,-37.8734,144.8143,6,5301.0
7,4876,4,0,1070000.0,1,14,1,13.8,3018.0,4.0,2.0,2.0,695.0,151.96764988779805,1964.6842169408897,10,-37.8733,144.8147,6,5301.0
7,681,3,2,605000.0,1,97,2,13.8,3018.0,3.0,2.0,2.0,230.0,151.96764988779805,1964.6842169408897,10,-37.8646,144.827,6,5301.0
7,3170,3,1,705000.0,1,242,3,13.8,3018.0,3.0,2.0,2.0,197.0,152.0,1964.6842169408897,10,-37.8579,144.8181,6,5301.0
7,1350,2,2,440000.0,3,242,3,13.8,3018.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,10,-37.8659,144.83100000000005,6,5301.0
7,4618,4,0,845000.0,1,242,3,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,10,-37.8658,144.8155,6,5301.0
7,313,3,1,743000.0,3,80,7,13.8,3018.0,3.0,2.0,2.0,211.0,176.0,1964.6842169408897,10,-37.8698,144.816,6,5301.0
7,7010,3,2,730000.0,3,14,9,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,10,-37.868,144.8286,6,5301.0
7,2632,3,0,635000.0,1,208,10,13.8,3018.0,3.0,1.0,4.0,625.0,151.96764988779805,1960.0,10,-37.8611,144.8114,6,5301.0
7,5582,2,2,620000.0,3,242,10,13.8,3018.0,2.0,1.0,1.0,168.0,151.96764988779805,1964.6842169408897,10,-37.8676,144.8202,6,5301.0
7,653,3,2,730000.0,3,14,13,13.8,3018.0,3.0,2.0,1.0,70.0,151.96764988779805,1964.6842169408897,10,-37.868,144.8287,6,5301.0
7,4281,3,0,678000.0,1,242,13,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,10,-37.8608,144.8124,6,5301.0
7,475,3,0,712000.0,1,242,17,13.8,3018.0,3.0,1.0,2.0,363.0,151.96764988779805,1964.6842169408897,10,-37.8674,144.8375,6,5301.0
7,4941,3,0,840000.0,3,79,18,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,10,-37.86,144.8245,6,5301.0
7,6657,3,0,980000.0,1,14,21,13.8,3018.0,3.0,1.0,2.0,724.0,151.96764988779805,1964.6842169408897,10,-37.8672,144.817,6,5301.0
7,1560,3,1,605100.0,1,242,24,13.8,3018.0,3.0,2.0,0.0,265.0,151.96764988779805,1964.6842169408897,10,-37.8583,144.8172,6,5301.0
7,2989,3,0,880000.0,0,14,26,13.8,3018.0,3.0,3.0,1.0,577.0,151.96764988779805,1964.6842169408897,10,-37.8699,144.8235,6,5301.0
7,5553,3,2,577000.0,1,235,27,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,10,-37.8684,144.815,6,5301.0
7,8112,4,0,1030000.0,1,14,31,13.8,3018.0,4.0,1.0,0.0,797.0,151.96764988779805,1964.6842169408897,10,-37.8663,144.8387,6,5301.0
7,3431,3,2,605000.0,1,14,31,13.8,3018.0,3.0,1.0,2.0,181.0,151.96764988779805,1964.6842169408897,10,-37.8659,144.822,6,5301.0
7,4579,3,0,753000.0,1,14,35,13.8,3018.0,3.0,2.0,2.0,529.0,151.96764988779805,1964.6842169408897,10,-37.8612,144.8247,6,5301.0
7,1024,2,0,857000.0,3,242,36,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,10,-37.8653,144.8129,6,5301.0
7,7639,3,0,1500000.0,1,14,38,13.8,3018.0,3.0,1.0,1.0,929.0,151.96764988779805,1964.6842169408897,10,-37.8651,144.832,6,5301.0
7,2320,3,0,900000.0,1,208,38,13.8,3018.0,3.0,1.0,4.0,697.0,151.96764988779805,1964.6842169408897,10,-37.871,144.8075,6,5301.0
7,4236,3,0,740000.0,1,79,39,13.8,3018.0,3.0,1.0,2.0,604.0,151.96764988779805,1964.6842169408897,10,-37.8631,144.8195,6,5301.0
7,5280,4,0,931000.0,1,208,39,13.8,3018.0,4.0,2.0,3.0,532.0,151.96764988779805,1970.0,10,-37.8637,144.8365,6,5301.0
7,3808,2,0,535600.0,3,47,46,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,10,-37.8646,144.8272,6,5301.0
9,6734,3,0,781000.0,1,97,43,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,10,-37.8291,144.835,6,5132.0
9,4137,3,0,750000.0,3,97,48,11.1,3025.0,3.0,1.0,3.0,554.0,151.96764988779805,1964.6842169408897,10,-37.8449,144.85,6,5132.0
9,2416,3,0,1405000.0,1,208,48,11.1,3025.0,3.0,1.0,3.0,655.0,151.96764988779805,1964.6842169408897,10,-37.8338,144.8562,6,5132.0
9,6075,3,0,683000.0,1,66,49,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,10,-37.8284,144.8355,6,5132.0
9,2511,3,0,623000.0,1,208,49,11.1,3025.0,3.0,1.0,3.0,540.0,151.96764988779805,1964.6842169408897,10,-37.8267,144.8368,6,5132.0
9,622,3,0,720000.0,4,79,51,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,10,-37.8379,144.8583,6,5132.0
9,761,3,0,588000.0,1,235,52,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,10,-37.838,144.8555,6,5132.0
9,7713,3,0,710000.0,0,224,53,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,10,-37.8294,144.8378,6,5132.0
9,4659,4,0,875000.0,3,97,56,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,10,-37.8448,144.8529,6,5132.0
9,4137,3,0,700000.0,4,97,2,11.1,3025.0,3.0,1.0,3.0,554.0,151.96764988779805,1964.6842169408897,10,-37.8449,144.85,6,5132.0
9,445,2,1,640000.0,1,235,4,11.1,3025.0,2.0,1.0,1.0,252.0,151.96764988779805,1965.0,10,-37.8397,144.8602,6,5132.0
9,4090,4,0,650000.0,3,235,5,11.1,3025.0,4.0,1.0,4.0,558.0,151.96764988779805,1964.6842169408897,10,-37.8451,144.8529,6,5132.0
9,3677,3,0,675000.0,1,242,10,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,10,-37.8337,144.8554,6,5132.0
9,1143,3,0,708000.0,1,79,12,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,10,-37.8258,144.8523,6,5132.0
9,863,4,0,965000.0,3,80,12,11.1,3025.0,4.0,1.0,4.0,851.0,151.96764988779805,1964.6842169408897,10,-37.8345,144.8444,6,5132.0
9,2474,3,0,680000.0,1,208,21,11.1,3025.0,3.0,1.0,3.0,551.0,151.96764988779805,1964.6842169408897,10,-37.8254,144.8514,6,5132.0
9,5914,3,0,923000.0,1,79,24,11.1,3025.0,3.0,1.0,2.0,740.0,151.96764988779805,1964.6842169408897,10,-37.8269,144.8455,6,5132.0
9,4769,4,0,693000.0,3,181,24,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,10,-37.8391,144.8467,6,5132.0
9,316,3,0,620000.0,3,92,26,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,10,-37.8262,144.8443,6,5132.0
9,3262,3,0,728500.0,1,97,26,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,10,-37.8277,144.8385,6,5132.0
9,4556,3,0,931000.0,1,242,26,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,10,-37.8382,144.8649,6,5132.0
9,6778,3,0,988000.0,1,208,26,11.1,3025.0,3.0,1.0,4.0,715.0,151.96764988779805,2008.0,10,-37.8423,144.8632,6,5132.0
9,1636,3,0,590000.0,1,224,27,11.1,3025.0,3.0,1.0,2.0,561.0,151.96764988779805,1964.6842169408897,10,-37.8444,144.8491,6,5132.0
9,6305,2,0,610000.0,1,178,30,11.1,3025.0,2.0,1.0,2.0,691.0,151.96764988779805,1964.6842169408897,10,-37.834,144.8553,6,5132.0
9,8558,3,0,815000.0,1,242,31,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,10,-37.8318,144.8388,6,5132.0
9,9995,4,0,970000.0,1,79,31,11.1,3025.0,4.0,1.0,2.0,708.0,151.96764988779805,1964.6842169408897,10,-37.833,144.8494,6,5132.0
9,2425,4,0,760000.0,1,92,35,11.1,3025.0,4.0,1.0,3.0,668.0,151.96764988779805,1964.6842169408897,10,-37.8262,144.8439,6,5132.0
9,4888,4,1,847500.0,1,178,35,11.1,3025.0,4.0,3.0,1.0,252.0,151.96764988779805,1964.6842169408897,10,-37.8393,144.8568,6,5132.0
9,7738,4,0,1200000.0,3,178,36,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,10,-37.8375,144.8541,6,5132.0
9,1084,3,0,700000.0,3,92,36,11.1,3025.0,3.0,1.0,1.0,557.0,151.96764988779805,1964.6842169408897,10,-37.8441,144.8505,6,5132.0
9,841,3,0,625000.0,0,92,38,11.1,3025.0,3.0,1.0,1.0,536.0,151.96764988779805,1964.6842169408897,10,-37.8285,144.8351,6,5132.0
11,590,2,2,550000.0,4,151,45,6.3,3143.0,2.0,1.0,0.0,861.0,151.96764988779805,1964.6842169408897,26,-37.8539,145.0284,5,4836.0
11,2165,3,2,995000.0,1,125,45,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,26,-37.8552,145.016,5,4836.0
